思っ	オモッ	オモッ
て	テ	テ
い	イ	イ
ます	マス	マス
。	。	。
EOS
何	ナン	ナン
か	カ	カ
お	オ	オ
聞き	キキ	キキ
し	シ	シ
て	テ	テ
い	イ	イ
たら	タラ	タラ
すぐ	スグ	スグ
に	ニ	ニ
で	デ	デ
も	モ	モ
飛ん	トン	トン
で	デ	デ
いき	イキ	イキ
たい	タイ	タイ
よう	ヨウ	ヨー
な	ナ	ナ
、	、	、
参加	サンカ	サンカ
し	シ	シ
たい	タイ	タイ
よう	ヨウ	ヨー
な	ナ	ナ
気持ち	キモチ	キモチ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
き	キ	キ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
私	ワタシ	ワタシ
も	モ	モ
、	、	、
初めて	ハジメテ	ハジメテ
車座	クルマザ	クルマザ
集会	シュウカイ	シューカイ
を	ヲ	オ
さ	サ	サ
せ	セ	セ
て	テ	テ
いただく	イタダク	イタダク
と	ト	ト
いく	イク	イク
こと	コト	コト
で	デ	デ
、	、	、
正直	ショウジキ	ショージキ
どきどき	ドキドキ	ドキドキ
し	シ	シ
て	テ	テ
いる	イル	イル
ん	ン	ン
です	デス	デス
けど	ケド	ケド
、	、	、
ぜひ	ゼヒ	ゼヒ
皆	ミナ	ミナ
さん	サン	サン
、	、	、
沢山	タクサン	タクサン
の	ノ	ノ
方	カタ	カタ
に	ニ	ニ
参加	サンカ	サンカ
し	シ	シ
て	テ	テ
いただけ	イタダケ	イタダケ
たら	タラ	タラ
嬉しい	ウレシイ	ウレシー
な	ナ	ナ
と	ト	ト
思い	オモイ	オモイ
ます	マス	マス
。	。	。
EOS
そう	ソウ	ソー
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
また	マタ	マタ
この	コノ	コノ
「	「	「
市長	シチョウ	シチョー
と	ト	ト
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
の	ノ	ノ
見せ	ミセ	ミセ
て	テ	テ
・	・	・
聴か	キカ	キカ
せ	セ	セ
て	テ	テ
あまがさき	アマガサキ	アマガサキ
~	~	~
」	」	」
。	。	。
EOS
これ	コレ	コレ
は	ハ	ワ
市長	シチョウ	シチョー
室	シツ	シツ
オープン	オープン	オープン
トーク	トーク	トーク
を	ヲ	オ
リニューアル	リニューアル	リニューアル
する	スル	スル
ん	ン	ン
です	デス	デス
けれど	ケレド	ケレド
も	モ	モ
、	、	、
グループ	グループ	グループ
の	ノ	ノ
方	カタ	カタ
に	ニ	ニ
、	、	、
これ	コレ	コレ
まで	マデ	マデ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
市長	シチョウ	シチョー
室	シツ	シツ
に	ニ	ニ
来	キ	キ
て	テ	テ
いただく	イタダク	イタダク
パターン	パターン	パターン
や	ヤ	ヤ
、	、	、
私	ワタシ	ワタシ
の	ノ	ノ
方	ホウ	ホー
が	ガ	ガ
どんどん	ドンドン	ドンドン
現場	ゲンバ	ゲンバ
に	ニ	ニ
出かけ	デカケ	デカケ
て	テ	テ
行っ	イッ	イッ
て	テ	テ
、	、	、
皆	ミナ	ミナ
さん	サン	サン
の	ノ	ノ
活動	カツドウ	カツドー
の	ノ	ノ
様子	ヨウス	ヨース
を	ヲ	オ
実際	ジッサイ	ジッサイ
に	ニ	ニ
見せ	ミセ	ミセ
て	テ	テ
いただい	イタダイ	イタダイ
たり	タリ	タリ
、	、	、
お	オ	オ
話	ハナシ	ハナシ
を	ヲ	オ
伺っ	ウカガッ	ウカガッ
たり	タリ	タリ
、	、	、
で	デ	デ
、	、	、
それ	ソレ	ソレ
を	ヲ	オ
また	マタ	マタ
市民	シミン	シミン
の	ノ	ノ
皆	ミナ	ミナ
さん	サン	サン
に	ニ	ニ
お	オ	オ
伝え	ツタエ	ツタエ
し	シ	シ
たり	タリ	タリ
と	ト	ト
、	、	、
そう	ソウ	ソー
いっ	イッ	イッ
た	タ	タ
取り組み	トリクミ	トリクミ
を	ヲ	オ
し	シ	シ
て	テ	テ
いき	イキ	イキ
たい	タイ	タイ
な	ナ	ナ
と	ト	ト
思っ	オモッ	オモッ
て	テ	テ
い	イ	イ
ます	マス	マス
。	。	。
EOS
はい	ハイ	ハイ
。	。	。
EOS
これ	コレ	コレ
は	ハ	ワ
希望	キボウ	キボー
さ	サ	サ
れる	レル	レル
グループ	グループ	グループ
の	ノ	ノ
方	カタ	カタ
に	ニ	ニ
登録	トウロク	トーロク
を	ヲ	オ
いただい	イタダイ	イタダイ
て	テ	テ
、	、	、
また	マタ	マタ
、	、	、
その	ソノ	ソノ
活動	カツドウ	カツドー
内容	ナイヨウ	ナイヨー
や	ヤ	ヤ
時期	ジキ	ジキ
に	ニ	ニ
応じ	オウジ	オージ
て	テ	テ
実施	ジッシ	ジッシ
を	ヲ	オ
し	シ	シ
て	テ	テ
いき	イキ	イキ
たい	タイ	タイ
な	ナ	ナ
と	ト	ト
思っ	オモッ	オモッ
て	テ	テ
い	イ	イ
ます	マス	マス
の	ノ	ノ
で	デ	デ
、	、	、
これ	コレ	コレ
も	モ	モ
皆	ミナ	ミナ
さん	サン	サン
是非	ゼヒ	ゼヒ
、	、	、
どんどん	ドンドン	ドンドン
お	オ	オ
気軽	キガル	キガル
に	ニ	ニ
お	オ	オ
申し込み	モウシコミ	モーシコミ
いただけれ	イタダケレ	イタダケレ
ば	バ	バ
嬉しい	ウレシイ	ウレシー
です	デス	デス
。	。	。
EOS
楽しみ	タノシミ	タノシミ
に	ニ	ニ
し	シ	シ
て	テ	テ
おり	オリ	オリ
ます	マス	マス
。	。	。
EOS
はい	ハイ	ハイ
。	。	。
EOS
さて	サテ	サテ
、	、	、
「	「	「
みんな	ミンナ	ミンナ
で	デ	デ
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
と	ト	ト
とも	トモ	トモ
に	ニ	ニ
車座	クルマザ	クルマザ
集会	シュウカイ	シューカイ
~	~	~
」	」	」
と	ト	ト
「	「	「
市長	シチョウ	シチョー
と	ト	ト
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
の	ノ	ノ
見せ	ミセ	ミセ
て	テ	テ
・	・	・
聴か	キカ	キカ
せ	セ	セ
て	テ	テ
あまがさき	アマガサキ	アマガサキ
~	~	~
」	」	」
が	ガ	ガ
また	マタ	マタ
新しく	アタラシク	アタラシク
始まる	ハジマル	ハジマル
こと	コト	コト
で	デ	デ
、	、	、
市長	シチョウ	シチョー
・	・	・
そして	ソシテ	ソシテ
市	シ	シ
役所	ヤクショ	ヤクショ
と	ト	ト
の	ノ	ノ
距離	キョリ	キョリ
が	ガ	ガ
縮まっ	チヂマッ	チジマッ
て	テ	テ
、	、	、
市政	シセイ	シセー
を	ヲ	オ
身近	ミヂカ	ミジカ
に	ニ	ニ
感じる	カンジル	カンジル
こと	コト	コト
が	ガ	ガ
でき	デキ	デキ
そう	ソウ	ソー
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
ぜひ	ゼヒ	ゼヒ
私	ワタシ	ワタシ
も	モ	モ
市民	シミン	シミン
の	ノ	ノ
皆	ミナ	ミナ
さま	サマ	サマ
と	ト	ト
こう	コウ	コー
やっ	ヤッ	ヤッ
て	テ	テ
直接	チョクセツ	チョクセツ
お	オ	オ
話	ハナシ	ハナシ
を	ヲ	オ
し	シ	シ
て	テ	テ
、	、	、
はい	ハイ	ハイ
。	。	。
EOS
いろんな	イロンナ	イロンナ
事	コト	コト
を	ヲ	オ
共有	キョウユウ	キョーユー
し	シ	シ
て	テ	テ
いく	イク	イク
、	、	、
そんな	ソンナ	ソンナ
街づくり	マチヅクリ	マチズクリ
を	ヲ	オ
し	シ	シ
て	テ	テ
いき	イキ	イキ
たい	タイ	タイ
と	ト	ト
思っ	オモッ	オモッ
て	テ	テ
い	イ	イ
ます	マス	マス
。	。	。
EOS
はい	ハイ	ハイ
。	。	。
EOS
今日	キョウ	キョー
は	ハ	ワ
第	ダイ	ダイ
1	イッ	イッ
回	カイ	カイ
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
で	デ	デ
、	、	、
稲村	イナムラ	イナムラ
市	シ	シ
長	チョウ	チョー
、	、	、
ありがとう	アリガトウ	アリガトー
ござい	ゴザイ	ゴザイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
はい	ハイ	ハイ
。	。	。
EOS
ありがとう	アリガトウ	アリガトー
ござい	ゴザイ	ゴザイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
これ	コレ	コレ
から	カラ	カラ
も	モ	モ
よろしく	ヨロシク	ヨロシク
お	オ	オ
願い	ネガイ	ネガイ
し	シ	シ
ます	マス	マス
。	。	。
EOS
よろしく	ヨロシク	ヨロシク
お	オ	オ
願い	ネガイ	ネガイ
いたし	イタシ	イタシ
ます	マス	マス
。	。	。
EOS
EOS
