手袋	テブクロ	テブクロ
なり	ナリ	ナリ
三	ミッ	ミッ
つ	ツ	ツ
に	ニ	ニ
なり	ナリ	ナリ
、	、	、
は	ハ	ハ
て	テ	テ
は	ハ	ワ
十	トオ	トー
に	ニ	ニ
も	モ	モ
ふえ	フエ	フエ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
狐	キツネ	キツネ
の	ノ	ノ
子供	コドモ	コドモ
は	ハ	ワ
それ	ソレ	ソレ
を	ヲ	オ
見	ミ	ミ
て	テ	テ
、	、	、
灯	ヒ	ヒ
に	ニ	ニ
は	ハ	ワ
、	、	、
星	ホシ	ホシ
と	ト	ト
同じ	オナジ	オナジ
よう	ヨウ	ヨー
に	ニ	ニ
、	、	、
赤い	アカイ	アカイ
の	ノ	ノ
や	ヤ	ヤ
黄	キ	キ
い	イ	イ
の	ノ	ノ
や	ヤ	ヤ
青い	アオイ	アオイ
の	ノ	ノ
が	ガ	ガ
ある	アル	アル
ん	ン	ン
だ	ダ	ダ
な	ナ	ナ
と	ト	ト
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
やがて	ヤガテ	ヤガテ
町	マチ	マチ
に	ニ	ニ
はいり	ハイリ	ハイリ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
通り	トオリ	トーリ
の	ノ	ノ
家々	イエイエ	イエイエ
は	ハ	ワ
もう	モウ	モー
みんな	ミンナ	ミンナ
戸	ト	ト
を	ヲ	オ
閉め	シメ	シメ
て	テ	テ
しまっ	シマッ	シマッ
て	テ	テ
、	、	、
高い	タカイ	タカイ
窓	マド	マド
から	カラ	カラ
暖か	アタタカ	アタタカ
そう	ソウ	ソー
な	ナ	ナ
光	ヒカリ	ヒカリ
が	ガ	ガ
、	、	、
道	ミチ	ミチ
の	ノ	ノ
雪	ユキ	ユキ
の	ノ	ノ
上	ウエ	ウエ
に	ニ	ニ
落ち	オチ	オチ
て	テ	テ
いる	イル	イル
ばかり	バカリ	バカリ
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
けれど	ケレド	ケレド
表	オモテ	オモテ
の	ノ	ノ
看板	カンバン	カンバン
の	ノ	ノ
上	ウエ	ウエ
に	ニ	ニ
は	ハ	ワ
大てい	タイテイ	タイテー
小さな	チイサナ	チーサナ
電燈	デントウ	デントー
が	ガ	ガ
ともっ	トモッ	トモッ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
狐	キツネ	キツネ
の	ノ	ノ
子	コ	コ
は	ハ	ワ
、	、	、
それ	ソレ	ソレ
を	ヲ	オ
見	ミ	ミ
ながら	ナガラ	ナガラ
、	、	、
帽子	ボウシ	ボーシ
屋	ヤ	ヤ
を	ヲ	オ
探し	サガシ	サガシ
て	テ	テ
行き	イキ	イキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
自転	ジテン	ジテン
車	シャ	シャ
の	ノ	ノ
看板	カンバン	カンバン
や	ヤ	ヤ
、	、	、
眼鏡	メガネ	メガネ
の	ノ	ノ
看板	カンバン	カンバン
や	ヤ	ヤ
その	ソノ	ソノ
他	ホカ	ホカ
いろんな	イロンナ	イロンナ
看板	カンバン	カンバン
が	ガ	ガ
、	、	、
ある	アル	アル
もの	モノ	モノ
は	ハ	ワ
、	、	、
新しい	アタラシイ	アタラシー
ペンキ	ペンキ	ペンキ
で	デ	デ
画か	エガカ	エガカ
れ	レ	レ
、	、	、
或る	アル	アル
もの	モノ	モノ
は	ハ	ワ
、	、	、
古い	フルイ	フルイ
壁	カベ	カベ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
はげ	ハゲ	ハゲ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
、	、	、
町	マチ	マチ
に	ニ	ニ
始め	ハジメ	ハジメ
て	テ	テ
出	デ	デ
て	テ	テ
来	キ	キ
た	タ	タ
子狐	コギツネ	コギツネ
に	ニ	ニ
は	ハ	ワ
それ	ソレ	ソレ
ら	ラ	ラ
の	ノ	ノ
もの	モノ	モノ
が	ガ	ガ
いったい	イッタイ	イッタイ
何	ナニ	ナニ
で	デ	デ
ある	アル	アル
か	カ	カ
分ら	ワカラ	ワカラ
ない	ナイ	ナイ
の	ノ	ノ
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
とうとう	トウトウ	トートー
帽子	ボウシ	ボーシ
屋	ヤ	ヤ
が	ガ	ガ
みつかり	ミツカリ	ミツカリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
お	オ	オ
母	カア	カー
さん	サン	サン
が	ガ	ガ
道々	ミチミチ	ミチミチ
よく	ヨク	ヨク
教え	オシエ	オシエ
て	テ	テ
くれ	クレ	クレ
た	タ	タ
、	、	、
黒い	クロイ	クロイ
大きな	オオキナ	オーキナ
シルク	シルク	シルク
ハット	ハット	ハット
の	ノ	ノ
帽子	ボウシ	ボーシ
の	ノ	ノ
看板	カンバン	カンバン
が	ガ	ガ
、	、	、
青い	アオイ	アオイ
電燈	デントウ	デントー
に	ニ	ニ
照さ	テラサ	テラサ
れ	レ	レ
て	テ	テ
かかっ	カカッ	カカッ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
子狐	コギツネ	コギツネ
は	ハ	ワ
教え	オシエ	オシエ
られ	ラレ	ラレ
た	タ	タ
通り	トオリ	トーリ
、	、	、
トントン	トントン	トントン
と	ト	ト
戸	ト	ト
を	ヲ	オ
叩き	タタキ	タタキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
今晩は	コンバンハ	コンバンワ
」	」	」
EOS
する	スル	スル
と	ト	ト
、	、	、
中	ナカ	ナカ
で	デ	デ
は	ハ	ワ
何	ナニ	ナニ
か	カ	カ
ことこと	コトコト	コトコト
音	オト	オト
が	ガ	ガ
し	シ	シ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
やがて	ヤガテ	ヤガテ
、	、	、
戸	ト	ト
が	ガ	ガ
一寸	チョット	チョット
ほど	ホド	ホド
ゴロリ	ゴロリ	ゴロリ
と	ト	ト
あい	アイ	アイ
て	テ	テ
、	、	、
光	ヒカリ	ヒカリ
の	ノ	ノ
帯	オビ	オビ
が	ガ	ガ
道	ミチ	ミチ
の	ノ	ノ
白い	シロイ	シロイ
雪	ユキ	ユキ
の	ノ	ノ
上	ウエ	ウエ
に	ニ	ニ
長く	ナガク	ナガク
伸び	ノビ	ノビ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
子狐	コギツネ	コギツネ
は	ハ	ワ
その	ソノ	ソノ
光	ヒカリ	ヒカリ
が	ガ	ガ
まばゆかっ	マバユカッ	マバユカッ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
めんくらっ	メンクラッ	メンクラッ
て	テ	テ
、	、	、
まちがっ	マチガッ	マチガッ
た	タ	タ
方	ホウ	ホー
の	ノ	ノ
手	テ	テ
を	ヲ	オ
、	、	、
お	オ	オ
母	カア	カー
さま	サマ	サマ
が	ガ	ガ
出し	ダシ	ダシ
ちゃ	チャ	チャ
いけ	イケ	イケ
ない	ナイ	ナイ
と	ト	ト
言っ	イッ	イッ
て	テ	テ
よく	ヨク	ヨク
聞か	キカ	キカ
せ	セ	セ
た	タ	タ
方	ホウ	ホー
の	ノ	ノ
手	テ	テ
を	ヲ	オ
すきま	スキマ	スキマ
から	カラ	カラ
さしこん	サシコン	サシコン
で	デ	デ
しまい	シマイ	シマイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
この	コノ	コノ
お	オ	オ
手々	テテ	テテ
に	ニ	ニ
ちょうど	チョウド	チョード
いい	イイ	イー
手袋	テブクロ	テブクロ
下さい	クダサイ	クダサイ
」	」	」
EOS
する	スル	スル
と	ト	ト
帽子	ボウシ	ボーシ
屋	ヤ	ヤ
さん	サン	サン
は	ハ	ワ
、	、	、
おや	オヤ	オヤ
おや	オヤ	オヤ
と	ト	ト
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
狐	キツネ	キツネ
の	ノ	ノ
手	テ	テ
です	デス	デス
。	。	。
EOS
狐	キツネ	キツネ
の	ノ	ノ
手	テ	テ
が	ガ	ガ
手袋	テブクロ	テブクロ
を	ヲ	オ
くれ	クレ	クレ
と	ト	ト
言う	イウ	イウ
の	ノ	ノ
です	デス	デス
。	。	。
EOS
これ	コレ	コレ
は	ハ	ワ
きっと	キット	キット
木の葉	コノハ	コノハ
で	デ	デ
買い	カイ	カイ
に	ニ	ニ
来	キ	キ
た	タ	タ
ん	ン	ン
だ	ダ	ダ
な	ナ	ナ
と	ト	ト
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
そこ	ソコ	ソコ
で	デ	デ
、	、	、
EOS
「	「	「
先	サキ	サキ
に	ニ	ニ
お	オ	オ
金	カネ	カネ
を	ヲ	オ
下さい	クダサイ	クダサイ
」	」	」
と	ト	ト
言い	イイ	イー
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
子狐	コギツネ	コギツネ
は	ハ	ワ
すなお	スナオ	スナオ
に	ニ	ニ
、	、	、
握っ	ニギッ	ニギッ
て	テ	テ
来	キ	キ
た	タ	タ
白	ハク	ハク
銅貨	ドウカ	ドーカ
を	ヲ	オ
二	フタ	フタ
つ	ツ	ツ
帽子	ボウシ	ボーシ
屋	ヤ	ヤ
さん	サン	サン
に	ニ	ニ
渡し	ワタシ	ワタシ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
帽子	ボウシ	ボーシ
屋	ヤ	ヤ
さん	サン	サン
は	ハ	ワ
それ	ソレ	ソレ
を	ヲ	オ
人差	ヒトサシ	ヒトサシ
指	ユビ	ユビ
の	ノ	ノ
さき	サキ	サキ
に	ニ	ニ
のっけ	ノッケ	ノッケ
て	テ	テ
、	、	、
カチ	カチ	カチ
合せ	アワセ	アワセ
て	テ	テ
見る	ミル	ミル
と	ト	ト
、	、	、
チンチン	チンチン	チンチン
と	ト	ト
よい	ヨイ	ヨイ
音	オト	オト
が	ガ	ガ
し	シ	シ
まし	マシ	マシ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
これ	コレ	コレ
は	ハ	ワ
木の葉	コノハ	コノハ
じゃ	ジャ	ジャ
ない	ナイ	ナイ
、	、	、
ほんと	ホント	ホント
の	ノ	ノ
お	オ	オ
金	カネ	カネ
だ	ダ	ダ
と	ト	ト
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
棚	タナ	タナ
から	カラ	カラ
子供	コドモ	コドモ
用	ヨウ	ヨー
の	ノ	ノ
毛糸	ケイト	ケイト
の	ノ	ノ
手袋	テブクロ	テブクロ
を	ヲ	オ
とり出し	トリダシ	トリダシ
て	テ	テ
来	キ	キ
て	テ	テ
子狐	コギツネ	コギツネ
の	ノ	ノ
手	テ	テ
に	ニ	ニ
持た	モタ	モタ
せ	セ	セ
て	テ	テ
やり	ヤリ	ヤリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
子狐	コギツネ	コギツネ
は	ハ	ワ
、	、	、
お	オ	オ
礼	レイ	レー
を	ヲ	オ
言っ	イッ	イッ
て	テ	テ
また	マタ	マタ
、	、	、
もと	モト	モト
来	キ	キ
た	タ	タ
道	ミチ	ミチ
を	ヲ	オ
帰り	カエリ	カエリ
始め	ハジメ	ハジメ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
お	オ	オ
母	カア	カー
さん	サン	サン
は	ハ	ワ
、	、	、
人間	ニンゲン	ニンゲン
は	ハ	ワ
恐ろしい	オソロシイ	オソロシー
もの	モノ	モノ
だ	ダ	ダ
って	ッテ	ッテ
仰った	オッシャッタ	オッシャッタ
が	ガ	ガ
ちっとも	チットモ	チットモ
恐ろしく	オソロシク	オソロシク
ない	ナイ	ナイ
や	ヤ	ヤ
。	。	。
EOS
だ	ダ	ダ
って	ッテ	ッテ
僕	ボク	ボク
の	ノ	ノ
手	テ	テ
を	ヲ	オ
見	ミ	ミ
て	テ	テ
も	モ	モ
どう	ドウ	ドー
も	モ	モ
し	シ	シ
なかっ	ナカッ	ナカッ
た	タ	タ
もの	モノ	モノ
」	」	」
と	ト	ト
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
けれど	ケレド	ケレド
子狐	コギツネ	コギツネ
は	ハ	ワ
いったい	イッタイ	イッタイ
人間	ニンゲン	ニンゲン
なんて	ナンテ	ナンテ
どんな	ドンナ	ドンナ
もの	モノ	モノ
か	カ	カ
見	ミ	ミ
たい	タイ	タイ
と	ト	ト
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
ある	アル	アル
窓	マド	マド
の	ノ	ノ
下	シタ	シタ
を	ヲ	オ
通りかかる	トオリカカル	トーリカカル
と	ト	ト
、	、	、
人間	ニンゲン	ニンゲン
の	ノ	ノ
声	コエ	コエ
が	ガ	ガ
し	シ	シ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
何	ナン	ナン
と	ト	ト
いう	イウ	イウ
やさしい	ヤサシイ	ヤサシー
、	、	、
何	ナン	ナン
と	ト	ト
いう	イウ	イウ
美しい	ウツクシイ	ウツクシー
、	、	、
何	ナン	ナン
と	ト	ト
言う	イウ	イウ
おっとり	オットリ	オットリ
し	シ	シ
た	タ	タ
声	コエ	コエ
な	ナ	ナ
ん	ン	ン
でしょう	デショウ	デショー
。	。	。
EOS
「	「	「
ねむれ	ネムレ	ネムレ
EOS
ねむれ	ネムレ	ネムレ
EOS
母	ハハ	ハハ
の	ノ	ノ
胸	ムネ	ムネ
に	ニ	ニ
、	、	、
EOS
ねむれ	ネムレ	ネムレ
EOS
ねむれ	ネムレ	ネムレ
EOS
母	ハハ	ハハ
の	ノ	ノ
手	テ	テ
に	ニ	ニ
」	」	」
EOS
子狐	コギツネ	コギツネ
は	ハ	ワ
その	ソノ	ソノ
唄声	ウタゴエ	ウタゴエ
は	ハ	ワ
、	、	、
きっと	キット	キット
人間	ニンゲン	ニンゲン
の	ノ	ノ
お	オ	オ
母	カア	カー
さん	サン	サン
の	ノ	ノ
声	コエ	コエ
に	ニ	ニ
ちがい	チガイ	チガイ
ない	ナイ	ナイ
と	ト	ト
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
だ	ダ	ダ
って	ッテ	ッテ
、	、	、
子狐	コギツネ	コギツネ
が	ガ	ガ
眠る	ネムル	ネムル
時	トキ	トキ
に	ニ	ニ
も	モ	モ
、	、	、
やっぱり	ヤッパリ	ヤッパリ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
、	、	、
あんな	アンナ	アンナ
やさしい	ヤサシイ	ヤサシー
声	コエ	コエ
で	デ	デ
ゆすぶっ	ユスブッ	ユスブッ
て	テ	テ
くれる	クレル	クレル
から	カラ	カラ
です	デス	デス
。	。	。
EOS
する	スル	スル
と	ト	ト
こんど	コンド	コンド
は	ハ	ワ
、	、	、
子供	コドモ	コドモ
の	ノ	ノ
声	コエ	コエ
が	ガ	ガ
し	シ	シ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
母	カア	カー
ちゃん	チャン	チャン
、	、	、
こんな	コンナ	コンナ
寒い	サムイ	サムイ
夜	ヨル	ヨル
は	ハ	ワ
、	、	、
森	モリ	モリ
の	ノ	ノ
子狐	コギツネ	コギツネ
は	ハ	ワ
寒い	サムイ	サムイ
寒い	サムイ	サムイ
って	ッテ	ッテ
啼い	ナイ	ナイ
てる	テル	テル
でしょう	デショウ	デショー
ね	ネ	ネ
」	」	」
EOS
する	スル	スル
と	ト	ト
母	カア	カー
さん	サン	サン
の	ノ	ノ
声	コエ	コエ
が	ガ	ガ
、	、	、
EOS
「	「	「
森	モリ	モリ
の	ノ	ノ
子狐	コギツネ	コギツネ
も	モ	モ
お	オ	オ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
の	ノ	ノ
お	オ	オ
唄	ウタ	ウタ
を	ヲ	オ
きい	キイ	キー
て	テ	テ
、	、	、
洞穴	ホラアナ	ホラアナ
の	ノ	ノ
中	ナカ	ナカ
で	デ	デ
眠ろう	ネムロウ	ネムロー
と	ト	ト
し	シ	シ
て	テ	テ
いる	イル	イル
でしょう	デショウ	デショー
ね	ネ	ネ
。	。	。
EOS
さあ	サア	サー
坊や	ボウヤ	ボーヤ
も	モ	モ
早く	ハヤク	ハヤク
ねん	ネン	ネン
ね	ネ	ネ
し	シ	シ
なさい	ナサイ	ナサイ
。	。	。
EOS
森	モリ	モリ
の	ノ	ノ
子狐	コギツネ	コギツネ
と	ト	ト
坊や	ボウヤ	ボーヤ
と	ト	ト
どっち	ドッチ	ドッチ
が	ガ	ガ
早く	ハヤク	ハヤク
ねん	ネン	ネン
ね	ネ	ネ
する	スル	スル
か	カ	カ
、	、	、
きっと	キット	キット
坊や	ボウヤ	ボーヤ
の	ノ	ノ
方	ホウ	ホー
が	ガ	ガ
早く	ハヤク	ハヤク
ねん	ネン	ネン
ね	ネ	ネ
し	シ	シ
ます	マス	マス
よ	ヨ	ヨ
」	」	」
EOS
それ	ソレ	ソレ
を	ヲ	オ
きく	キク	キク
と	ト	ト
子狐	コギツネ	コギツネ
は	ハ	ワ
急	キュウ	キュー
に	ニ	ニ
お	オ	オ
母	カア	カー
さん	サン	サン
が	ガ	ガ
恋しく	コイシク	コイシク
なっ	ナッ	ナッ
て	テ	テ
、	、	、
お	オ	オ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
の	ノ	ノ
待っ	マッ	マッ
て	テ	テ
いる	イル	イル
方	カタ	カタ
へ	ヘ	エ
跳ん	トン	トン
で	デ	デ
行き	イキ	イキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
お	オ	オ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
、	、	、
心配	シンパイ	シンパイ
し	シ	シ
ながら	ナガラ	ナガラ
、	、	、
坊や	ボウヤ	ボーヤ
の	ノ	ノ
狐	キツネ	キツネ
の	ノ	ノ
帰っ	カエッ	カエッ
て	テ	テ
来る	クル	クル
の	ノ	ノ
を	ヲ	オ
、	、	、
今	イマ	イマ
か	カ	カ
今	イマ	イマ
か	カ	カ
と	ト	ト
ふるえ	フルエ	フルエ
ながら	ナガラ	ナガラ
待っ	マッ	マッ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
坊や	ボウヤ	ボーヤ
が	ガ	ガ
来る	クル	クル
と	ト	ト
、	、	、
暖い	アタタカイ	アタタカイ
胸	ムネ	ムネ
に	ニ	ニ
抱きしめ	ダキシメ	ダキシメ
て	テ	テ
泣き	ナキ	ナキ
たい	タイ	タイ
ほど	ホド	ホド
よろこび	ヨロコビ	ヨロコビ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
二	ニ	ニ
匹	ピキ	ピキ
の	ノ	ノ
狐	キツネ	キツネ
は	ハ	ワ
森	モリ	モリ
の	ノ	ノ
方	ホウ	ホー
へ	ヘ	エ
帰っ	カエッ	カエッ
て	テ	テ
行き	イキ	イキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
月	ツキ	ツキ
が	ガ	ガ
出	デ	デ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
狐	キツネ	キツネ
の	ノ	ノ
毛なみ	ケナミ	ケナミ
が	ガ	ガ
銀色	ギンイロ	ギンイロ
に	ニ	ニ
光り	ヒカリ	ヒカリ
、	、	、
その	ソノ	ソノ
足あと	アシアト	アシアト
に	ニ	ニ
は	ハ	ワ
、	、	、
コバルト	コバルト	コバルト
の	ノ	ノ
影	カゲ	カゲ
が	ガ	ガ
たまり	タマリ	タマリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
母	カア	カー
ちゃん	チャン	チャン
、	、	、
人間	ニンゲン	ニンゲン
って	ッテ	ッテ
ちっとも	チットモ	チットモ
恐	オソル	オソル
か	カ	カ
な	ナ	ナ
いや	イヤ	イヤ
」	」	」
EOS
「	「	「
どう	ドウ	ドー
し	シ	シ
て	テ	テ
？	？	？
EOS
」	」	」
EOS
「	「	「
坊	ボウ	ボー
、	、	、
間違え	マチガエ	マチガエ
て	テ	テ
ほんとう	ホントウ	ホントー
の	ノ	ノ
お	オ	オ
手々	テテ	テテ
出し	ダシ	ダシ
ちゃっ	チャッ	チャッ
た	タ	タ
の	ノ	ノ
。	。	。
EOS
で	デ	デ
も	モ	モ
帽子	ボウシ	ボーシ
屋	ヤ	ヤ
さん	サン	サン
、	、	、
掴まえ	ツカマエ	ツカマエ
や	ヤ	ヤ
し	シ	シ
なかっ	ナカッ	ナカッ
た	タ	タ
もの	モノ	モノ
。	。	。
EOS
ちゃんと	チャント	チャント
こんな	コンナ	コンナ
いい	イイ	イー
暖い	アタタカイ	アタタカイ
手袋	テブクロ	テブクロ
くれ	クレ	クレ
た	タ	タ
もの	モノ	モノ
」	」	」
EOS
と	ト	ト
言っ	イッ	イッ
て	テ	テ
手袋	テブクロ	テブクロ
の	ノ	ノ
はまっ	ハマッ	ハマッ
た	タ	タ
両手	リョウテ	リョーテ
を	ヲ	オ
パンパン	パンパン	パンパン
やっ	ヤッ	ヤッ
て	テ	テ
見せ	ミセ	ミセ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
お	オ	オ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
、	、	、
EOS
「	「	「
まあ	マア	マー
！	！	！
EOS
」	」	」
と	ト	ト
あきれ	アキレ	アキレ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
、	、	、
「	「	「
ほんとう	ホントウ	ホントー
に	ニ	ニ
人間	ニンゲン	ニンゲン
は	ハ	ワ
いい	イイ	イー
もの	モノ	モノ
かしら	カシラ	カシラ
。	。	。
EOS
ほんとう	ホントウ	ホントー
に	ニ	ニ
人間	ニンゲン	ニンゲン
は	ハ	ワ
いい	イイ	イー
もの	モノ	モノ
かしら	カシラ	カシラ
」	」	」
と	ト	ト
つぶやき	ツブヤキ	ツブヤキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
