J	ジェー	ジェー
の	ノ	ノ
上	ウエ	ウエ
に	ニ	ニ
ある	アル	アル
言葉	コトバ	コトバ
で	デ	デ
あり	アリ	アリ
、	、	、
マインド	マインド	マインド
だっ	ダッ	ダッ
た	タ	タ
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
そして	ソシテ	ソシテ
、	、	、
この	コノ	コノ
マインド	マインド	マインド
は	ハ	ワ
私	ワタクシ	ワタクシ
たち	タチ	タチ
が	ガ	ガ
毎日	マイニチ	マイニチ
と	ト	ト
いう	イウ	イウ
か	カ	カ
、	、	、
ほぼ	ホボ	ホボ
毎分	マイフン	マイフン
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
触れ	フレ	フレ
て	テ	テ
いる	イル	イル
インターネット	インターネット	インターネット
と	ト	ト
いう	ユウ	ユー
もの	モノ	モノ
に	ニ	ニ
まっすぐ	マッスグ	マッスグ
繋がっ	ツナガッ	ツナガッ
て	テ	テ
いき	イキ	イキ
ます	マス	マス
。	。	。
EOS
9	キュウ	キュー
0	ゼロ	ゼロ
年	ネン	ネン
代	ダイ	ダイ
に	ニ	ニ
入る	ハイル	ハイル
と	ト	ト
今度	コンド	コンド
Linux	リナックス	リナックス
って	ッテ	ッテ
いう	ユウ	ユー
今	イマ	イマ
も	モ	モ
世界	セカイ	セカイ
中	ジュウ	ジュー
で	デ	デ
使わ	ツカワ	ツカワ
れ	レ	レ
て	テ	テ
いる	イル	イル
、	、	、
例えば	タトエバ	タトエバ
ウェブ	ウェブ	ウェブ
ページ	ページ	ページ
と	ト	ト
か	カ	カ
皆	ミナ	ミナ
さん	サン	サン
見	ミ	ミ
てる	テル	テル
と	ト	ト
思う	オモウ	オモウ
ん	ン	ン
です	デス	デス
けど	ケド	ケド
も	モ	モ
、	、	、
大体	ダイタイ	ダイタイ
Web	ウェブ	ウェブ
ページ	ページ	ページ
を	ヲ	オ
動かし	ウゴカシ	ウゴカシ
てる	テル	テル
メイン	メイン	メイン
の	ノ	ノ
ソフト	ソフト	ソフト
って	ッテ	ッテ
Linux	リナックス	リナックス
な	ナ	ナ
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
で	デ	デ
、	、	、
まあ	マア	マー
それ	ソレ	ソレ
ぐらい	グライ	グライ
世界	セカイ	セカイ
に	ニ	ニ
浸透	シントウ	シントー
し	シ	シ
て	テ	テ
いる	イル	イル
もの	モノ	モノ
が	ガ	ガ
あっ	アッ	アッ
て	テ	テ
、	、	、
で	デ	デ
、	、	、
それ	ソレ	ソレ
は	ハ	ワ
もともと	モトモト	モトモト
フリー	フリー	フリー
ソフトウェア	ソフトウェア	ソフトウェア
だっ	ダッ	ダッ
た	タ	タ
ん	ン	ン
です	デス	デス
。	。	。
EOS
で	デ	デ
、	、	、
最初	サイショ	サイショ
は	ハ	ワ
北欧	ホクオウ	ホクオー
の	ノ	ノ
リーナス	リーナス	リーナス
・	・	・
トーバルズ	トーバルズ	トーバルズ
と	ト	ト
いう	ユウ	ユー
1人	ヒトリ	ヒトリ
が	ガ	ガ
作っ	ツクッ	ツクッ
て	テ	テ
た	タ	タ
の	ノ	ノ
を	ヲ	オ
この	コノ	コノ
2	ニ	ニ
タイトル	タイトル	タイトル
を	ヲ	オ
バーン	バーン	バーン
と	ト	ト
公開	コウカイ	コーカイ
し	シ	シ
て	テ	テ
こんな	コンナ	コンナ
もん	モン	モン
作っ	ツクッ	ツクッ
て	テ	テ
ん	ン	ン
だ	ダ	ダ
けど	ケド	ケド
、	、	、
みんな	ミンナ	ミンナ
どう	ドウ	ドー
思う	オモウ	オモウ
？	？	？
みたい	ミタイ	ミタイ
な	ナ	ナ
、	、	、
今	イマ	イマ
で	デ	デ
言う	ユウ	ユー
と	ト	ト
作っ	ツクッ	ツクッ
て	テ	テ
み	ミ	ミ
た	タ	タ
系	ケイ	ケー
の	ノ	ノ
走り	ハシリ	ハシリ
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
で	デ	デ
、	、	、
そ	ソ	ソ
し	シ	シ
たら	タラ	タラ
世界	セカイ	セカイ
中	チュウ	チュー
の	ノ	ノ
エンジニア	エンジニア	エンジニア
たち	タチ	タチ
が	ガ	ガ
集まっ	アツマッ	アツマッ
て	テ	テ
き	キ	キ
て	テ	テ
、	、	、
メール	メール	メール
で	デ	デ
やり取り	ヤリトリ	ヤリトリ
を	ヲ	オ
し	シ	シ
て	テ	テ
、	、	、
で	デ	デ
、	、	、
いや	イヤ	イヤ
ここ	ココ	ココ
は	ハ	ワ
こう	コウ	コー
し	シ	シ
た	タ	タ
方	ホウ	ホー
が	ガ	ガ
いい	イイ	イー
ん	ン	ン
じゃ	ジャ	ジャ
ない	ナイ	ナイ
か	カ	カ
みたい	ミタイ	ミタイ
な	ナ	ナ
。	。	。
EOS
俺	オレ	オレ
だっ	ダッ	ダッ
たら	タラ	タラ
こう	コウ	コー
する	スル	スル
みたい	ミタイ	ミタイ
な	ナ	ナ
。	。	。
EOS
で	デ	デ
、	、	、
どんどん	ドンドン	ドンドン
どんどん	ドンドン	ドンドン
1人	ヒトリ	ヒトリ
じゃ	ジャ	ジャ
でき	デキ	デキ
ない	ナイ	ナイ
レベル	レベル	レベル
に	ニ	ニ
まで	マデ	マデ
こう	コウ	コー
ソフトウェア	ソフトウェア	ソフトウェア
が	ガ	ガ
広がっ	ヒロガッ	ヒロガッ
て	テ	テ
いっ	イッ	イッ
た	タ	タ
と	ト	ト
、	、	、
成長	セイチョウ	セーチョー
し	シ	シ
て	テ	テ
いっ	イッ	イッ
た	タ	タ
と	ト	ト
。	。	。
EOS
で	デ	デ
、	、	、
世界	セカイ	セカイ
を	ヲ	オ
変え	カエ	カエ
て	テ	テ
しまう	シマウ	シマウ
ところ	トコロ	トコロ
まで	マデ	マデ
いっ	イッ	イッ
た	タ	タ
。	。	。
EOS
で	デ	デ
、	、	、
それ	ソレ	ソレ
が	ガ	ガ
ソフトウェア	ソフトウェア	ソフトウェア
の	ノ	ノ
世界	セカイ	セカイ
だっ	ダッ	ダッ
た	タ	タ
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
で	デ	デ
、	、	、
それ	ソレ	ソレ
から	カラ	カラ
9	キュウ	キュー
0	ゼロ	ゼロ
年	ネン	ネン
代	ダイ	ダイ
末	マツ	マツ
から	カラ	カラ
2000	ニセン	ニセン
年	ネン	ネン
代	ダイ	ダイ
初頭	ショトウ	ショトー
に	ニ	ニ
かけ	カケ	カケ
て	テ	テ
今度	コンド	コンド
、	、	、
こう	コウ	コー
インターネット	インターネット	インターネット
って	ッテ	ッテ
いう	ユウ	ユー
もの	モノ	モノ
に	ニ	ニ
、	、	、
あの	アノ	アノ
、	、	、
みんな	ミンナ	ミンナ
が	ガ	ガ
アクセス	アクセス	アクセス
する	スル	スル
よう	ヨウ	ヨー
に	ニ	ニ
なっ	ナッ	ナッ
た	タ	タ
。	。	。
EOS
で	デ	デ
、	、	、
それ	ソレ	ソレ
は	ハ	ワ
本当	ホント	ホント
に	ニ	ニ
もう	モウ	モー
子供	コドモ	コドモ
から	カラ	カラ
お	オ	オ
じい	ジイ	ジー
ちゃん	チャン	チャン
まで	マデ	マデ
、	、	、
こう	コウ	コー
アクセス	アクセス	アクセス
する	スル	スル
よう	ヨウ	ヨー
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
き	キ	キ
て	テ	テ
、	、	、
そう	ソウ	ソー
する	スル	スル
と	ト	ト
今度	コンド	コンド
その	ソノ	ソノ
ソフトウェア	ソフトウェア	ソフトウェア
だけ	ダケ	ダケ
じゃ	ジャ	ジャ
なく	ナク	ナク
て	テ	テ
、	、	、
例えば	タトエバ	タトエバ
その	ソノ	ソノ
文章	ブンショウ	ブンショー
だっ	ダッ	ダッ
たり	タリ	タリ
画像	ガゾウ	ガゾー
だっ	ダッ	ダッ
たり	タリ	タリ
、	、	、
音楽	オンガク	オンガク
・	・	・
映像	エイゾウ	エーゾー
と	ト	ト
いっ	イッ	イッ
た	タ	タ
、	、	、
本当	ホント	ホント
に	ニ	ニ
みんな	ミンナ	ミンナ
が	ガ	ガ
作る	ツクル	ツクル
もの	モノ	モノ
が	ガ	ガ
、	、	、
どんどん	ドンドン	ドンドン
どんどん	ドンドン	ドンドン
インターネット	インターネット	インターネット
に	ニ	ニ
アップ	アップ	アップ
さ	サ	サ
れ	レ	レ
て	テ	テ
いっ	イッ	イッ
て	テ	テ
、	、	、
そこ	ソコ	ソコ
で	デ	デ
また	マタ	マタ
その	ソノ	ソノ
著作	チョサク	チョサク
権	ケン	ケン
の	ノ	ノ
問題	モンダイ	モンダイ
って	ッテ	ッテ
いう	ユウ	ユー
の	ノ	ノ
が	ガ	ガ
再燃	サイネン	サイネン
し	シ	シ
て	テ	テ
しまっ	シマッ	シマッ
た	タ	タ
と	ト	ト
。	。	。
EOS
そう	ソウ	ソー
いう	ユウ	ユー
時	トキ	トキ
に	ニ	ニ
、	、	、
じゃあ	ジャア	ジャー
その	ソノ	ソノ
ソフトウェア	ソフトウェア	ソフトウェア
だけ	ダケ	ダケ
じゃ	ジャ	ジャ
なく	ナク	ナク
て	テ	テ
、	、	、
そう	ソウ	ソー
いう	ユウ	ユー
コンテンツ	コンテンツ	コンテンツ
、	、	、
その	ソノ	ソノ
作品	サクヒン	サクヒン
の	ノ	ノ
世界	セカイ	セカイ
を	ヲ	オ
フリー	フリー	フリー
に	ニ	ニ
する	スル	スル
自由	ジユウ	ジユー
に	ニ	ニ
する	スル	スル
って	ッテ	ッテ
いう	ユウ	ユー
こと	コト	コト
が	ガ	ガ
必要	ヒツヨウ	ヒツヨー
だ	ダ	ダ
と	ト	ト
いう	ユウ	ユー
話	ハナシ	ハナシ
が	ガ	ガ
出	デ	デ
て	テ	テ
き	キ	キ
て	テ	テ
、	、	、
生まれ	ウマレ	ウマレ
た	タ	タ
の	ノ	ノ
が	ガ	ガ
、	、	、
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
と	ト	ト
総称	ソウショウ	ソーショー
する	スル	スル
、	、	、
大きな	オオキナ	オーキナ
運動	ウンドウ	ウンドー
な	ナ	ナ
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
ムーブメント	ムーブメント	ムーブメント
。	。	。
EOS
これ	コレ	コレ
私	ワタクシ	ワタクシ
達	タチ	タチ
全員	ゼンイン	ゼンイン
この	コノ	コノ
大きな	オオキナ	オーキナ
渦	ウズ	ウズ
の	ノ	ノ
中	ナカ	ナカ
に	ニ	ニ
い	イ	イ
ます	マス	マス
。	。	。
EOS
私	ワタクシ	ワタクシ
たち	タチ	タチ
は	ハ	ワ
毎日	マイニチ	マイニチ
、	、	、
その	ソノ	ソノ
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
に	ニ	ニ
とても	トテモ	トテモ
お	オ	オ
世話	セワ	セワ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
いる	イル	イル
から	カラ	カラ
です	デス	デス
。	。	。
EOS
一番	イチバン	イチバン
有名	ユウメイ	ユーメー
な	ナ	ナ
事例	ジレイ	ジレー
って	ッテ	ッテ
言う	ユウ	ユー
と	ト	ト
、	、	、
例えば	タトエバ	タトエバ
Wikipedia	ウィキペディア	ウィキペディア
って	ッテ	ッテ
いう	ユウ	ユー
オン	オン	オン
ライン	ライン	ライン
百科	ヒャッカ	ヒャッカ
事典	ジテン	ジテン
が	ガ	ガ
あり	アリ	アリ
ます	マス	マス
。	。	。
EOS
皆	ミナ	ミナ
さん	サン	サン
ご	ゴ	ゴ
存知	ゾンジ	ゾンジ
だ	ダ	ダ
と	ト	ト
思い	オモイ	オモイ
ます	マス	マス
。	。	。
EOS
で	デ	デ
、	、	、
Wikipedia	ウィキペディア	ウィキペディア
って	ッテ	ッテ
いう	ユウ	ユー
の	ノ	ノ
は	ハ	ワ
全	ゼン	ゼン
世界	セカイ	セカイ
で	デ	デ
数百	スウヒャク	スーヒャク
万	マン	マン
件	ケン	ケン
の	ノ	ノ
百科	ヒャッカ	ヒャッカ
事典	ジテン	ジテン
の	ノ	ノ
記事	キジ	キジ
から	カラ	カラ
なっ	ナッ	ナッ
てる	テル	テル
ん	ン	ン
です	デス	デス
けど	ケド	ケド
も	モ	モ
、	、	、
実	ジツ	ジツ
は	ハ	ワ
この	コノ	コノ
全て	スベテ	スベテ
の	ノ	ノ
記事	キジ	キジ
に	ニ	ニ
対し	タイシ	タイシ
て	テ	テ
、	、	、
クリエイティブ	クリエイティブ	クリエーティブ
・	・	・
コモンズ	コモンズ	コモンズ
・	・	・
ライセンス	ライセンス	ライセンス
と	ト	ト
いう	ユウ	ユー
フリー	フリー	フリー
の	ノ	ノ
ライセンス	ライセンス	ライセンス
が	ガ	ガ
つい	ツイ	ツイ
て	テ	テ
い	イ	イ
て	テ	テ
、	、	、
それ	ソレ	ソレ
は	ハ	ワ
どう	ドウ	ドー
いう	ユウ	ユー
こと	コト	コト
意味	イミ	イミ
する	スル	スル
か	カ	カ
と	ト	ト
いう	イウ	イウ
と	ト	ト
、	、	、
その	ソノ	ソノ
Wikipedia	ウィキペディア	ウィキペディア
に	ニ	ニ
書い	カイ	カイ
て	テ	テ
ある	アル	アル
記事	キジ	キジ
って	ッテ	ッテ
いう	ユウ	ユー
の	ノ	ノ
は	ハ	ワ
、	、	、
ただ	タダ	タダ
こう	コウ	コー
受け取っ	ウケトッ	ウケトッ
て	テ	テ
読める	ヨメル	ヨメル
よ	ヨ	ヨ
。	。	。
EOS
って	ッテ	ッテ
いう	ユウ	ユー
だけ	ダケ	ダケ
じゃ	ジャ	ジャ
なく	ナク	ナク
て	テ	テ
、	、	、
誰	ダレ	ダレ
で	デ	デ
も	モ	モ
その	ソノ	ソノ
内容	ナイヨウ	ナイヨー
を	ヲ	オ
例えば	タトエバ	タトエバ
違う	チガウ	チガウ
言語	ゲンゴ	ゲンゴ
に	ニ	ニ
翻訳	ホンヤク	ホンヤク
し	シ	シ
たり	タリ	タリ
それ	ソレ	ソレ
を	ヲ	オ
引用	インヨウ	インヨー
し	シ	シ
て	テ	テ
例えば	タトエバ	タトエバ
本	ホン	ホン
を	ヲ	オ
書い	カイ	カイ
たり	タリ	タリ
、	、	、
とにかく	トニカク	トニカク
その	ソノ	ソノ
Wikipedia	ウィキペディア	ウィキペディア
って	ッテ	ッテ
いう	ユウ	ユー
場所	バショ	バショ
に	ニ	ニ
ある	アル	アル
もの	モノ	モノ
使っ	ツカッ	ツカッ
て	テ	テ
新しい	アタラシイ	アタラシー
もの	モノ	モノ
を	ヲ	オ
作っ	ツクッ	ツクッ
て	テ	テ
いい	イイ	イー
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
。	。	。
EOS
って	ッテ	ッテ
いう	ユウ	ユー
、	、	、
そう	ソウ	ソー
いう	ユウ	ユー
文化	ブンカ	ブンカ
を	ヲ	オ
発信	ハッシン	ハッシン
し	シ	シ
てる	テル	テル
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
You	ユー	ユー
Tube	チューブ	チューブ
って	ッテ	ッテ
いう	ユウ	ユー
、	、	、
動画	ドウガ	ドーガ
共有	キョウユウ	キョーユー
サイト	サイト	サイト
、	、	、
皆	ミナ	ミナ
さん	サン	サン
知っ	シッ	シッ
てる	テル	テル
と	ト	ト
思い	オモイ	オモイ
ます	マス	マス
けど	ケド	ケド
も	モ	モ
、	、	、
You	ユー	ユー
Tube	チューブ	チューブ
も	モ	モ
実	ジツ	ジツ
は	ハ	ワ
昨年	サクネン	サクネン
2	ニ	ニ
0	ゼロ	ゼロ
1	イチ	イチ
1	イチ	イチ
年	ネン	ネン
6	ロク	ロク
月	ガツ	ガツ
から	カラ	カラ
クリエイティブ	クリエイティブ	クリエーティブ
・	・	・
コモンズ	コモンズ	コモンズ
・	・	・
ライセンス	ライセンス	ライセンス
を	ヲ	オ
選べる	エラベル	エラベル
よう	ヨウ	ヨー
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
いる	イル	イル
。	。	。
EOS
それ	ソレ	ソレ
は	ハ	ワ
、	、	、
どう	ドウ	ドー
いう	ユウ	ユー
こと	コト	コト
を	ヲ	オ
意味	イミ	イミ
する	スル	スル
か	カ	カ
と	ト	ト
いう	イウ	イウ
と	ト	ト
、	、	、
You	ユー	ユー
Tube	チューブ	チューブ
に	ニ	ニ
投稿	トウコウ	トーコー
さ	サ	サ
れ	レ	レ
てる	テル	テル
動画	ドウガ	ドーガ
の	ノ	ノ
中	ナカ	ナカ
から	カラ	カラ
、	、	、
その	ソノ	ソノ
クリエイティブ	クリエイティブ	クリエーティブ
・	・	・
コモンズ	コモンズ	コモンズ
・	・	・
ライセンス	ライセンス	ライセンス
が	ガ	ガ
つい	ツイ	ツイ
てる	テル	テル
動画	ドウガ	ドーガ
を	ヲ	オ
検索	ケンサク	ケンサク
できる	デキル	デキル
よう	ヨウ	ヨー
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
い	イ	イ
て	テ	テ
、	、	、
それ	ソレ	ソレ
を	ヲ	オ
いわゆる	イワユル	イワユル
マッシュ	マッシュ	マッシュ
アップ	アップ	アップ
、	、	、
色んな	イロンナ	イロンナ
動画	ドウガ	ドーガ
を	ヲ	オ
こう	コウ	コー
混ぜ合わせ	マゼアワセ	マゼアワセ
て	テ	テ
新しい	アタラシイ	アタラシー
動画	ドウガ	ドーガ
を	ヲ	オ
作る	ツクル	ツクル
って	ッテ	ッテ
いう	ユウ	ユー
こと	コト	コト
が	ガ	ガ
可能	カノウ	カノー
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
いる	イル	イル
。	。	。
EOS
画像	ガゾウ	ガゾー
の	ノ	ノ
世界	セカイ	セカイ
で	デ	デ
言う	ユウ	ユー
と	ト	ト
、	、	、
フリッカー	フリッカー	フリッカー
って	ッテ	ッテ
いう	ユウ	ユー
今	イマ	イマ
yahoo	ヤフー	ヤフー
!	!	!
の	ノ	ノ
子	コ	コ
会社	カイシャ	カイシャ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
ます	マス	マス
けれど	ケレド	ケレド
も	モ	モ
、	、	、
画像	ガゾウ	ガゾー
に	ニ	ニ
今度	コンド	コンド
は	ハ	ワ
その	ソノ	ソノ
同じ	オナジ	オナジ
クリエイティブ	クリエイティブ	クリエーティブ
・	・	・
コモンズ	コモンズ	コモンズ
・	・	・
ライセンス	ライセンス	ライセンス
を	ヲ	オ
つける	ツケル	ツケル
と	ト	ト
いう	ユウ	ユー
サイト	サイト	サイト
が	ガ	ガ
あっ	アッ	アッ
て	テ	テ
、	、	、
もう	モウ	モー
8	ハチ	ハチ
年	ネン	ネン
ぐらい	グライ	グライ
運営	ウンエイ	ウンエー
さ	サ	サ
れ	レ	レ
てる	テル	テル
老舗	シニセ	シニセ
の	ノ	ノ
サイト	サイト	サイト
な	ナ	ナ
ん	ン	ン
です	デス	デス
けど	ケド	ケド
、	、	、
この	コノ	コノ
フリッカー	フリッカー	フリッカー
が	ガ	ガ
すごい	スゴイ	スゴイ
の	ノ	ノ
は	ハ	ワ
今	イマ	イマ
およそ	オヨソ	オヨソ
です	デス	デス
けど	ケド	ケド
も	モ	モ
、	、	、
7000	ナナセン	ナナセン
万	マン	マン
件	ケン	ケン
ぐらい	グライ	グライ
の	ノ	ノ
写真	シャシン	シャシン
が	ガ	ガ
クリエイティブ	クリエイティブ	クリエーティブ
・	・	・
コモンズ	コモンズ	コモンズ
・	・	・
ライセンス	ライセンス	ライセンス
が	ガ	ガ
つい	ツイ	ツイ
てる	テル	テル
。	。	。
EOS
しかも	シカモ	シカモ
それ	ソレ	ソレ
が	ガ	ガ
結構	ケッコウ	ケッコー
クオリティ	クオリティ	クオリティ
の	ノ	ノ
高い	タカイ	タカイ
もの	モノ	モノ
が	ガ	ガ
すごい	スゴイ	スゴイ
多い	オオイ	オーイ
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
デジカメ	デジカメ	デジカメ
が	ガ	ガ
すごい	スゴイ	スゴイ
普及	フキュウ	フキュー
し	シ	シ
て	テ	テ
、	、	、
誰	ダレ	ダレ
で	デ	デ
も	モ	モ
結構	ケッコウ	ケッコー
いい	イイ	イー
写真	シャシン	シャシン
撮れる	トレル	トレル
よう	ヨウ	ヨー
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
き	キ	キ
た	タ	タ
って	ッテ	ッテ
いう	ユウ	ユー
時代	ジダイ	ジダイ
背景	ハイケイ	ハイケー
も	モ	モ
ある	アル	アル
と	ト	ト
思う	オモウ	オモウ
ん	ン	ン
です	デス	デス
けど	ケド	ケド
も	モ	モ
。	。	。
EOS
例えば	タトエバ	タトエバ
今回	コンカイ	コンカイ
の	ノ	ノ
僕	ボク	ボク
の	ノ	ノ
出し	ダシ	ダシ
た	タ	タ
本	ホン	ホン
を	ヲ	オ
絡め	カラメ	カラメ
て	テ	テ
いう	イウ	イウ
と	ト	ト
この	コノ	コノ
僕	ボク	ボク
の	ノ	ノ
本	ホン	ホン
の	ノ	ノ
表紙	ヒョウシ	ヒョーシ
って	ッテ	ッテ
いう	ユウ	ユー
の	ノ	ノ
は	ハ	ワ
実	ジツ	ジツ
は	ハ	ワ
まさに	マサニ	マサニ
フリッカー	フリッカー	フリッカー
で	デ	デ
探し出し	サガシダシ	サガシダシ
て	テ	テ
き	キ	キ
た	タ	タ
画像	ガゾウ	ガゾー
十	ジュウ	ジュー
数	スウ	スー
点	テン	テン
を	ヲ	オ
リミックス	リミックス	リミックス
し	シ	シ
た	タ	タ
グラフィック	グラフィック	グラフィック
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
い	イ	イ
て	テ	テ
、	、	、
これ	コレ	コレ
自体	ジタイ	ジタイ
が	ガ	ガ
フリッカー	フリッカー	フリッカー
が	ガ	ガ
あっ	アッ	アッ
た	タ	タ
から	カラ	カラ
作れ	ツクレ	ツクレ
た	タ	タ
表紙	ヒョウシ	ヒョーシ
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
ます	マス	マス
。	。	。
EOS
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
ムーブメント	ムーブメント	ムーブメント
に	ニ	ニ
よる	ヨル	ヨル
恩恵	オンケイ	オンケー
を	ヲ	オ
私	ワタクシ	ワタクシ
たち	タチ	タチ
は	ハ	ワ
共有	キョウユウ	キョーユー
し	シ	シ
て	テ	テ
い	イ	イ
ます	マス	マス
。	。	。
EOS
私	ワタクシ	ワタクシ
たち	タチ	タチ
1人1人	ヒトリヒトリ	ヒトリヒトリ
が	ガ	ガ
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
の	ノ	ノ
実践	ジッセン	ジッセン
者	シャ	シャ
に	ニ	ニ
なれる	ナレル	ナレル
。	。	。
EOS
インターネット	インターネット	インターネット
の	ノ	ノ
世界	セカイ	セカイ
に	ニ	ニ
おい	オイ	オイ
て	テ	テ
、	、	、
私	ワタクシ	ワタクシ
たち	タチ	タチ
は	ハ	ワ
ただ	タダ	タダ
利用	リヨウ	リヨー
者	シャ	シャ
で	デ	デ
ある	アル	アル
だけ	ダケ	ダケ
で	デ	デ
は	ハ	ワ
なく	ナク	ナク
、	、	、
表現	ヒョウゲン	ヒョーゲン
者	シャ	シャ
で	デ	デ
あり	アリ	アリ
、	、	、
創造	ソウゾウ	ソーゾー
者	シャ	シャ
、	、	、
クリエイター	クリエイター	クリエーター
で	デ	デ
も	モ	モ
ある	アル	アル
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
さあ	サア	サー
、	、	、
今月	コンゲツ	コンゲツ
この	コノ	コノ
360	スリーシックスティー	スリーシックスティー
Forum	フォーラム	フォーラム
も	モ	モ
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
宣言	センゲン	センゲン
です	デス	デス
。	。	。
EOS
この	コノ	コノ
フォーラム	フォーラム	フォーラム
の	ノ	ノ
2	ニ	ニ
0	ゼロ	ゼロ
分	プン	プン
前後	ゼンゴ	ゼンゴ
、	、	、
まるまる	マルマル	マルマル
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
を	ヲ	オ
実践	ジッセン	ジッセン
です	デス	デス
。	。	。
EOS
今月	コンゲツ	コンゲツ
この	コノ	コノ
360	スリーシックスティー	スリーシックスティー
Forum	フォーラム	フォーラム
で	デ	デ
かける	カケル	カケル
音楽	オンガク	オンガク
、	、	、
BGM	ビージーエム	ビージーエム
は	ハ	ワ
、	、	、
全て	スベテ	スベテ
、	、	、
今日	キョウ	キョー
も	モ	モ
そう	ソウ	ソー
です	デス	デス
。	。	。
EOS
クリエイティブ	クリエイティブ	クリエーティブ
・	・	・
コモンズ	コモンズ	コモンズ
・	・	・
ライセンス	ライセンス	ライセンス
で	デ	デ
公開	コウカイ	コーカイ
さ	サ	サ
れ	レ	レ
て	テ	テ
いる	イル	イル
もの	モノ	モノ
ばかり	バカリ	バカリ
です	デス	デス
。	。	。
EOS
360	スリーシックスティー	スリーシックスティー
Forum	フォーラム	フォーラム
、	、	、
全て	スベテ	スベテ
クリエイティブ	クリエイティブ	クリエーティブ
・	・	・
コモンズ	コモンズ	コモンズ
・	・	・
ライセンス	ライセンス	ライセンス
で	デ	デ
公開	コウカイ	コーカイ
し	シ	シ
ます	マス	マス
。	。	。
EOS
皆	ミナ	ミナ
さん	サン	サン
自由	ジユウ	ジユー
に	ニ	ニ
使っ	ツカッ	ツカッ
て	テ	テ
ください	クダサイ	クダサイ
。	。	。
EOS
マッシュ	マッシュ	マッシュ
アップ	アップ	アップ
や	ヤ	ヤ
リミックス	リミックス	リミックス
、	、	、
DJ	ディージェー	ディージェー
ミックス	ミックス	ミックス
も	モ	モ
ウェルカム	ウェルカム	ウェルカム
です	デス	デス
。	。	。
EOS
使用	シヨウ	シヨー
の	ノ	ノ
条件	ジョウケン	ジョーケン
は	ハ	ワ
必ず	カナラズ	カナラズ
J	ジェー	ジェー
-		
WAVE	ウエーブ	ウエーブ
360	スリーシックスティー	スリーシックスティー
の	ノ	ノ
ウェブサイト	ウェブサイト	ウェブサイト
で	デ	デ
確認	カクニン	カクニン
し	シ	シ
て	テ	テ
ください	クダサイ	クダサイ
。	。	。
EOS
360	スリーシックスティー	スリーシックスティー
フォーラム	フォーラム	フォーラム
今月	コンゲツ	コンゲツ
は	ハ	ワ
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
を	ヲ	オ
Seek	シーク	シーク
and	アンド	アンド
Find	ファインド	ファインド
。	。	。
EOS
